var_type,parameter_id,canonical_long_name,canonical_short_name,units,ERA5_long,ERA5_short,ECWMF-IFS-HR_long,ECWMF-IFS-HR_short,CMCC-CM2-VHR4_long,CMCC-CM2-VHR4_short,HRRR_long,HRRR_short,MRMS_long,MRMS_short
surf_vars,,Multi-Sensor Quantitative Precipitation Estimation,msqpe,,,,,,,,,,MultiSensor_QPE_01H_Pass2,MultiSensor_QPE_01H_Pass2
surf_vars,,Seamless High-Speed Rail,shsr,,,,,,,,,,SeamlessHSR_P0_L102_GLL0,SeamlessHSR_P0_L102_GLL0
surf_vars,,Precipitation flag,pflag,,,,,,,,,,PrecipFlag_P0_L102_GLL0,PrecipFlag_P0_L102_GLL0
surf_vars,165,10 metre U wind component,10u,m s-1,10m_u_component_of_wind,u10,eastward_wind,uas,eastward_wind,uas,UGRD_P0_L103_GLC0,UGRD_P0_L103_GLC0,,
surf_vars,166,10 metre V wind component,10v,m s-1,10m_v_component_of_wind,v10,northward_wind,vas,northward_wind,vas,VGRD_P0_L103_GLC0,VGRD_P0_L103_GLC0,,
surf_vars,167,2 metre temperature,2t,K,2m_temperature,t2m,air_temperature,tas,air_temperature,tas,TMP_P0_L103_GLC0,TMP_P0_L103_GLC0,,
surf_vars,151,Mean sea level pressure,msl,Pa,mean_sea_level_pressure,msl,air_pressure_at_sea_level,psl,air_pressure_at_sea_level,psl,MSLMA_P0_L101_GLC0,MSLMA_P0_L101_GLC0,,
surf_vars,134,Surface pressure,sp,Pa,surface_pressure,sp,,,,,PRES_P0_L1_GLC0,PRES_P0_L1_GLC0,,
surf_vars,168,2 metre dewpoint temperature,2d,K,2m_dewpoint_temperature,d2m,,,,,DPT_P0_L103_GLC0,DPT_P0_L103_GLC0,,
surf_vars,164,Total cloud cover,tcc,(0 - 1),total_cloud_cover,tcc,,,,,TCDC_P0_L10_GLC0,TCDC_P0_L10_GLC0,,
surf_vars,162056,Vertical integral of cloud liquid water,vilw,kg m-2,,,,,,,VIL_P0_L10_GLC0,VIL_P0_L10_GLC0,,
surf_vars,137,Total column vertically-integrated water vapour,tcwv,kg m-2,total_column_water_vapour,tcwv,,,,,,,,
surf_vars,228,Total precipitation,tp,m,,,,,,,APCP_P8_L1_GLC0_acc,APCP_P8_L1_GLC0_acc,,
surf_vars,3059,Precipitation rate,prate,kg m-2 s-1,,,,,,,PRATE_P0_L1_GLC0,PRATE_P0_L1_GLC0,PrecipRate_P0_L102_GLL0,PrecipRate_P0_L102_GLL0
surf_vars,235,Skin temperature,skt,K,skin_temperature,skt,,,,,,,,
surf_vars,34,Sea surface temperature,sst,K,sea_surface_temperature,sst,,,,,,,,
surf_vars,133,Specific humidity,q,kg kg-1,,,,,specific_humidity,huss,,,,
surf_vars,,surface_temperature,ts,,,,,,surface_temperature,ts,,,,
atmos_vars,129,Geopotential,z,m2 s-2,geopotential,z,,,,,,,,
atmos_vars,133,Specific humidity,q,kg kg-1,specific_humidity,q,specific_humidity,hus,specific_humidity,hus,SPFH_P0_L100_GLC0,SPFH_P0_L100_GLC0,,
atmos_vars,130,Temperature,t,K,temperature,t,air_temperature,ta,air_temperature,ua,TMP_P0_L100_GLC0,TMP_P0_L100_GLC0,,
atmos_vars,131,U component of wind,u,m s-1,u_component_of_wind,u,eastward_wind,ua,eastward_wind,va,UGRD_P0_L100_GLC0,UGRD_P0_L100_GLC0,,
atmos_vars,132,V component of wind,v,m s-1,v_component_of_wind,v,northward_wind,va,northward_wind,ta,VGRD_P0_L100_GLC0,VGRD_P0_L100_GLC0,,
atmos_vars,235029,Mean large-scale precipitation rate,mlspr,kg m-2 s-1,,,,,,,,,,
atmos_vars,235030,Mean convective precipitation rate,mcpr,kg m-2 s-1,,,,,,,,,,
atmos_vars,235055,Mean total precipitation rate,mtpr,kg m-2 s-1,,,,,,,,,,
atmos_vars,156,Geopotential height,gh,gpm,,,geopotential_height,zg,,,,,,
atmos_vars,10,Wind speed,ws,m s-1,,,,,,,,,,
atmos_vars,3017,Dew point temperature,dpt,K,,,,,,,DPT_P0_L100_GLC0,DPT_P0_L100_GLC0,,
atmos_vars,157,Relative humidity,r,%,,,,,,,RH_P0_L100_GLC0,RH_P0_L100_GLC0,,
atmos_vars,260018,Cloud mixing ratio,clwmr,kg kg-1,,,,,,,CLWMR_P0_L100_GLC0,CLWMR_P0_L100_GLC0,,
atmos_vars,260020,Rain mixing ratio,rwmr,kg kg-1,,,,,,,RWMR_P0_L100_GLC0,RWMR_P0_L100_GLC0,,
atmos_vars,260021,Snow mixing ratio,snmr,kg kg-1,,,,,,,SNMR_P0_L100_GLC0,SNMR_P0_L100_GLC0,,
atmos_vars,260028,Graupel (snow pellets),grle,kg kg-1,,,,,,,GRLE_P0_L100_GLC0,GRLE_P0_L100_GLC0,,
atmos_vars,260118,Cloud ice mixing ratio,cdcimr,kg kg-1,,,,,,,CIMIXR_P0_L100_GLC0,CIMIXR_P0_L100_GLC0,,
atmos_vars,160135,vertical velocity (pressure),wrea,Pa s-1,,,,,,,VVEL_P0_L100_GLC0,VVEL_P0_L100_GLC0,,
atmos_vars,3041,Absolute vorticity,absv,s-1,,,,,,,ABSV_P0_L100_GLC0,ABSV_P0_L100_GLC0,,
atmos_vars,260336,Geopotential Height (nearest grid point),hgtn,gpm,,,,,,,HGT_P0_L100_GLC0,HGT_P0_L100_GLC0,,
atmos_levels,,100,100,,1,1,,,,,,,,
atmos_levels,,200,200,,2,2,,,,,,,,
atmos_levels,,300,300,,3,3,,,,,,,,
atmos_levels,,500,500,,5,5,,,,,,,,
atmos_levels,,700,700,,7,7,,,,,,,,
atmos_levels,,1000,1000,,10,10,,,,,,,,
atmos_levels,,2000,2000,,20,20,,,,,,,,
atmos_levels,,3000,3000,,30,30,,,,,,,,
atmos_levels,,5000,5000,,50,50,50,50,50,50,5000,5000,,
atmos_levels,,7000,7000,,70,70,,,,,,,,
atmos_levels,,7500,7500,,,,,,,,7500,7500,,
atmos_levels,,10000,10000,,100,100,,,,,10000,10000,,
atmos_levels,,12500,12500,,125,125,,,,,12500,12500,,
atmos_levels,,15000,15000,,150,150,,,,,15000,15000,,
atmos_levels,,17500,17500,,175,175,,,,,17500,17500,,
atmos_levels,,20000,20000,,200,200,,,,,20000,20000,,
atmos_levels,,22500,22500,,225,225,,,,,22500,22500,,
atmos_levels,,25000,25000,,250,250,250,250,250,250,25000,25000,,
atmos_levels,,27500,27500,,,,,,,,27500,27500,,
atmos_levels,,30000,30000,,300,300,,,,,30000,30000,,
atmos_levels,,32500,32500,,,,,,,,32500,32500,,
atmos_levels,,35000,35000,,350,350,,,,,35000,35000,,
atmos_levels,,37500,37500,,,,,,,,37500,37500,,
atmos_levels,,40000,40000,,400,400,,,,,40000,40000,,
atmos_levels,,42500,42500,,,,,,,,42500,42500,,
atmos_levels,,45000,45000,,450,450,,,,,45000,45000,,
atmos_levels,,47500,47500,,,,,,,,47500,47500,,
atmos_levels,,50000,50000,,500,500,500,500,500,500,50000,50000,,
atmos_levels,,52500,52500,,,,,,,,52500,52500,,
atmos_levels,,55000,55000,,550,550,,,,,55000,55000,,
atmos_levels,,57500,57500,,,,,,,,57500,57500,,
atmos_levels,,60000,60000,,600,600,600,600,600,600,60000,60000,,
atmos_levels,,62500,62500,,,,,,,,62500,62500,,
atmos_levels,,65000,65000,,650,650,,,,,65000,65000,,
atmos_levels,,67500,67500,,,,,,,,67500,67500,,
atmos_levels,,70000,70000,,700,700,700,700,700,700,70000,70000,,
atmos_levels,,72500,72500,,,,,,,,72500,72500,,
atmos_levels,,75000,75000,,750,750,,,,,75000,75000,,
atmos_levels,,77500,77500,,775,775,,,,,77500,77500,,
atmos_levels,,80000,80000,,800,800,,,,,80000,80000,,
atmos_levels,,82500,82500,,825,825,,,,,82500,82500,,
atmos_levels,,85000,85000,,850,850,850,850,850,850,85000,85000,,
atmos_levels,,87500,87500,,875,875,,,,,87500,87500,,
atmos_levels,,90000,90000,,900,900,,,,,90000,90000,,
atmos_levels,,92500,92500,,925,925,925,925,925,925,92500,92500,,
atmos_levels,,95000,95000,,950,950,,,,,95000,95000,,
atmos_levels,,97500,97500,,975,975,,,,,97500,97500,,
atmos_levels,,100000,100000,,1000,1000,,,,,100000,100000,,
atmos_levels,,101320,101320,,,,,,,,101320,101320,,
